ID,name,Team & Contract,Age,Best position,Value,Potential,Overall rating,Wage,Release clause,International reputation,Total stats,Growth,Total movement,Total power,Total mentality,Total skill,Total defending,Total goalkeeping,Total attacking,Position group,Cluster
28130,15 Ronaldinho CAM ST,"Querétaro
2014 ~ 2016",34,CAM,4099999.9999999995,78,78,45000.0,0.0,3,1875,0,313,314,319,430,78,54,367,Midfield,1
240740,C. Hudson-Odoi LM LW RW,"Nottingham Forest
2023 ~ 2026",22,RM,11500000.0,81,76,49000.0,22700000.0,2,1921,5,388,335,291,376,143,58,330,Midfield,1
220139,S. Szmodics CAM ST,"Blackburn Rovers
2022 ~ 2026",27,CAM,6000000.0,75,75,40000.0,11400000.0,1,2003,0,410,356,343,347,141,62,344,Midfield,1
257057,A. Onana CDM CM,"Everton
2022 ~ 2027",21,CDM,15500000.0,83,77,26000.0,32600000.0,1,1954,6,333,369,332,323,227,50,320,Midfield,1
254796,N. Madueke RM RW,"Chelsea
2023 ~ 2030",21,CAM,15000000.0,83,76,60000.0,31500000.0,1,1885,7,416,346,284,368,102,51,318,Midfield,1
263370,V. Barco LM LB LWB,"Brighton & Hove Albion
2024 ~ 2028",18,CAM,7000000.0,85,73,19000.0,14700000.0,1,1887,12,385,273,347,359,204,49,270,Midfield,1
246863,F. Nmecha CM LM,"Borussia Dortmund
2023 ~ 2028",22,CAM,22500000.0,84,78,39000.0,42800000.0,1,2111,6,396,390,360,353,217,49,346,Midfield,1
251570,R. Cherki CAM LW RW,"Olympique Lyonnais
2019 ~ 2025",19,CAM,9000000.0,84,74,16000.0,18900000.0,2,1749,10,368,321,283,386,57,43,291,Midfield,1
235152,F. Kadıoğlu LB RB,"Fenerbahçe
2018 ~ 2026",23,RM,20000000.0,83,78,28000.0,39500000.0,1,2094,5,431,362,331,369,219,50,332,Midfield,1
247246,K. Thuram CM CDM,"Nice
2019 ~ 2025",22,CAM,21500000.0,83,78,38000.0,42500000.0,2,2114,5,363,390,360,366,228,50,357,Midfield,1
239138,Jeong Woo Yeong CAM CF,"VfB Stuttgart
2023 ~ 2026",23,RM,3400000.0,76,72,15000.0,6000000.0,1,1767,4,394,323,277,304,102,41,326,Midfield,1
251954,C. Summerville LM RM,"Leeds United
2020 ~ 2026",21,RM,17000000.0,84,76,31000.0,35700000.0,1,1839,8,425,331,274,336,108,54,311,Midfield,1
260599,A. Varela CDM CM,"Porto
2023 ~ 2028",21,CDM,20000000.0,84,77,10000.0,44000000.0,1,2029,7,356,368,358,351,224,51,321,Midfield,1
261336,J. Philogene RW LW RM,"Hull City
2023 ~ 2027",21,RM,9500000.0,82,74,14000.0,20000000.0,1,1806,8,388,333,269,340,114,47,315,Midfield,1
251804,S. Dest LB RB,"PSV
Jun 30, 2024 On loan",22,RM,20000000.0,83,78,90000.0,0.0,1,2033,5,414,343,328,351,217,61,319,Midfield,1
259356,C. Chukwuemeka CAM CM,"Chelsea
2022 ~ 2028",19,CAM,3300000.0,82,69,22000.0,8300000.000000001,1,1760,13,336,301,301,323,153,54,292,Midfield,1
252259,E. Millot CAM CM CF,"VfB Stuttgart
2021 ~ 2028",20,CAM,12500000.0,83,75,17000.0,23800000.0,1,1921,8,390,301,330,354,180,56,310,Midfield,1
